mode;euclidean_distance;routed_distance;weight;preceding_purpose;following_purpose
pt;4769.2307692307695;6200.0;1118.0093110807063;other;home
pt;48076.92307692308;62500.0;764.3570503154019;home;work
pt;48076.92307692308;62500.0;764.3570503154019;work;home
bicycle;1153.8461538461538;1500.0;4662.3768485009905;home;work
bicycle;1153.8461538461538;1500.0;4662.3768485009905;work;home
car;3076.9230769230767;4000.0;3587.922452619041;home;other
car;1384.6153846153845;1800.0;3587.922452619041;other;shop
car;769.2307692307692;1000.0;3587.922452619041;shop;home
car;2538.4615384615386;3300.0;3587.922452619041;home;other
car;2000.0;2600.0;3587.922452619041;other;home
car;16923.076923076922;22000.0;1237.2616118426258;home;shop
car;21923.076923076922;28500.0;1237.2616118426258;shop;leisure
car;6615.384615384615;8600.0;1237.2616118426258;leisure;home
car;1153.8461538461538;1500.0;2168.0126389591856;home;other
car;384.6153846153846;500.0;2168.0126389591856;other;other
car;1384.6153846153845;1800.0;2168.0126389591856;other;home
car_passenger;5076.923076923077;6600.0;8122.444146714104;home;education
walk;461.53846153846155;600.0;4695.724850044478;education;shop
car_passenger;3384.6153846153843;4400.0;8122.444146714104;shop;home
car;769.2307692307692;1000.0;1245.8530743042668;home;other
car;2307.6923076923076;3000.0;1245.8530743042668;other;work
car;1153.8461538461538;1500.0;1245.8530743042668;work;home
car;1384.6153846153845;1800.0;1245.8530743042668;home;work
car;1230.7692307692307;1600.0;1245.8530743042668;work;home
car_passenger;1230.7692307692307;1600.0;1638.536138370016;home;work
car;1307.6923076923076;1700.0;1245.8530743042668;work;shop
car;769.2307692307692;1000.0;1245.8530743042668;shop;home
walk;538.4615384615385;700.0;1663.3246402617137;home;work
walk;538.4615384615385;700.0;1663.3246402617137;work;home
walk;538.4615384615385;700.0;1663.3246402617137;home;work
walk;538.4615384615385;700.0;1663.3246402617137;work;home
walk;1000.0;1300.0;375.6039457399665;home;leisure
walk;2384.6153846153848;3100.0;375.6039457399665;leisure;home
pt;11153.846153846154;14500.0;783.0754682411963;home;work
pt;11153.846153846154;14500.0;783.0754682411963;work;home
walk;384.6153846153846;500.0;1371.527248152734;home;shop
walk;384.6153846153846;500.0;1371.527248152734;shop;home
walk;538.4615384615385;700.0;1016.758403059402;home;leisure
walk;1461.5384615384614;1900.0;1016.758403059402;leisure;home
pt;5307.692307692308;6900.0;1283.8534389268327;home;work
pt;5307.692307692308;6900.0;1283.8534389268327;work;home
pt;2615.3846153846152;3400.0;493.10413175590645;home;leisure
car_passenger;4461.538461538461;5800.0;824.5951419618967;leisure;home
pt;2538.4615384615386;3300.0;519.3388196142221;home;work
walk;769.2307692307692;1000.0;502.0752628992919;work;leisure
walk;769.2307692307692;1000.0;502.0752628992919;leisure;work
pt;3000.0;3900.0;519.3388196142221;work;shop
walk;1461.5384615384614;1900.0;502.0752628992919;shop;home
walk;1000.0;1300.0;662.0025080746176;home;work
walk;769.2307692307692;1000.0;662.0025080746176;work;leisure
walk;769.2307692307692;1000.0;662.0025080746176;leisure;work
walk;1000.0;1300.0;662.0025080746176;work;home
walk;1000.0;1300.0;761.4439916849072;home;work
walk;1461.5384615384614;1900.0;761.4439916849072;work;home
walk;538.4615384615385;700.0;805.4252238605841;home;work
walk;538.4615384615385;700.0;805.4252238605841;work;leisure
walk;230.76923076923077;300.0;805.4252238605841;leisure;work
walk;769.2307692307692;1000.0;805.4252238605841;work;leisure
walk;769.2307692307692;1000.0;805.4252238605841;leisure;home
pt;9923.076923076922;12900.0;875.4816631720473;home;work
walk;538.4615384615385;700.0;846.379414747254;work;leisure
walk;538.4615384615385;700.0;846.379414747254;leisure;work
pt;9923.076923076922;12900.0;875.4816631720473;work;home
bicycle;5384.615384615385;7000.0;1266.6259120157636;home;work
walk;538.4615384615385;700.0;589.0559799964561;work;leisure
walk;538.4615384615385;700.0;589.0559799964561;leisure;work
bicycle;6153.846153846153;8000.0;1266.6259120157636;work;home
bicycle;3384.6153846153843;4400.0;1266.6259120157636;home;leisure
bicycle;8076.923076923076;10500.0;1266.6259120157636;leisure;home
walk;2923.076923076923;3800.0;883.0321387372176;home;work
walk;769.2307692307692;1000.0;883.0321387372176;work;home
walk;769.2307692307692;1000.0;883.0321387372176;home;work
walk;769.2307692307692;1000.0;883.0321387372176;work;shop
walk;769.2307692307692;1000.0;883.0321387372176;shop;home
walk;538.4615384615385;700.0;795.933590724023;home;work
walk;538.4615384615385;700.0;795.933590724023;work;leisure
walk;538.4615384615385;700.0;795.933590724023;leisure;work
walk;538.4615384615385;700.0;795.933590724023;work;home
pt;1000.0;1300.0;709.5044540226304;home;work
walk;538.4615384615385;700.0;685.9195227236111;work;leisure
walk;538.4615384615385;700.0;685.9195227236111;leisure;work
pt;1000.0;1300.0;709.5044540226304;work;home
walk;769.2307692307692;1000.0;685.9195227236111;home;leisure
walk;769.2307692307692;1000.0;685.9195227236111;leisure;home
pt;1307.6923076923076;1700.0;624.1029349901349;home;work
walk;230.76923076923077;300.0;603.3568709424677;work;leisure
walk;230.76923076923077;300.0;603.3568709424677;leisure;work
pt;1307.6923076923076;1700.0;624.1029349901349;work;home
pt;3076.9230769230767;4000.0;624.1029349901349;home;leisure
car_passenger;3769.230769230769;4900.0;1043.6583576058474;leisure;leisure
car_passenger;3076.9230769230767;4000.0;1043.6583576058474;leisure;home
walk;769.2307692307692;1000.0;693.4410652363066;home;leisure
walk;769.2307692307692;1000.0;693.4410652363066;leisure;home
walk;1000.0;1300.0;693.4410652363066;home;leisure
walk;769.2307692307692;1000.0;693.4410652363066;leisure;home
bicycle;1615.3846153846152;2100.0;2389.1214763704143;home;work
walk;461.53846153846155;600.0;1111.082821884067;work;leisure
