road_type,Kreis_Name,Str,TKZST,Anfang,Ende,FSOD,FStr,Laenge_km,Land,Zaehlart,Kreis,VonNK,NachNK,Station_km,Herkunft,Ziel,DTV_2010,DTV_2015,DTV_2019,DTV,DTVw,DTVu,DTVs,DTV_LV,DTV_SV,DTV_Bus,DTV_LoA,DTV_LZ,DTV_Ri1,DTV_Ri2,DTV_SV_Ri1,DTV_SV_Ri2,X_Koordinate,Y_Koordinate
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,74359105,K PAF 9 (Haimpertshofen),L 2232 (OA Pfaffenhofen a.d.Ilm),FS,2,2.181,9,TM17,186,7435007,7435041,0.933,Ingolstadt,München,7020,7735,8145,6996,,,,6671,325,24,112,189,,,,,685081.114,5380882.305
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,74359104,L 2232 (Pfaffenhofen a.d.Ilm),L 2045 (Weihern),OD,2,1.292,9,TMt19,186,7435033,7435034,0.947,Ingolstadt,München,15633,14072,11741,9797,10662,11088,4980,9319,479,22,248,209,,,,,685439.14,5379573.449
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,74359103,L 2045 (Weihern),L 2045 (OE Pfaffenhofen a.d.Ilm),OD,2,1.248,9,TM19,186,7435034,7435017,0.121,Ingolstadt,München,13586,14419,14913,12750,13679,14226,7448,12128,622,59,333,229,,,,,685581.454,5378509.673
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,74359100,L 2045 (OE Pfaffenhofen a.d.Ilm),L 2084 (Ilmmünster),FS,2,4.063,9,TM17,186,7435017,7435027,1.817,Ingolstadt,München,13048,10450,11113,9531,,,,9263,268,24,122,122,,,,,685394.873,5375433.793
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,75359202,L 2048 (Ilmmünster),L 2337 Reichertshausen),FS,2,2.306,9,TM17,186,7535003,7535007,1.131,Ingolstadt,München,,12016,9369,8045,,,,7795,249,24,127,99,,,,,685463.11,5372018.505
Bundesstrasse,Kelheim,B 15N,71389101,AD Saalhaupt (1),AS Schierling-Nord (2),FS,4,6.221,9,MZa,273,7138032,7138034,0.501,GEGEN,IN,,,,15298,16479,15561,10800,12506,2793,17,556,2220,,,,,,
Bundesstrasse,Regensburg LK,B 15N,71389102,AS Schierling-Nord (2),AS Schierling-Süd (3),FS,4,2.691,9,DZ,375,7138034,7138035,2.066,GEGEN,IN,,,15059,14996,15894,15285,11453,12556,2440,19,359,2062,7415,7581,1217,1223,,
Bundesstrasse,Landshut LK,B 15N,72389103,AS Schierling-Süd (3),AS Neufahrn i.NB-Nord (4),FS,4,11.387,9,MZa,274,7138035,7238025,7.415,GEGEN,IN,,,,14153,14782,14233,11839,11526,2627,13,386,2228,,,,,,
Bundesstrasse,Landshut LK,B 15N,72389102,AS Neufahrn i.NB-Nord (4),AS Neufahrn i.NB-Süd (5),FS,4,1.735,9,MZa,274,7238025,7239040,0,GEGEN,IN,,,,13475,13734,15153,10243,10946,2529,11,354,2164,,,,,,
Bundesstrasse,Landshut LK,B 15N,73399101,AS Neufahrn i.NB-Süd (5,AS Ergoldsbach (6),FS,4,5.286,9,MZa,274,7239040,7339025,5.286,,,,,,13833,14480,14400,10779,11082,2751,18,488,2245,,,,,,
Bundesstrasse,Landshut LK,B 15N,73399102,AS Ergoldsbach (6),AS Essenbach (7),FS,4,7.32,9,MZa,274,7339025,7339028,3.679,,,,,,13111,13687,13327,10795,10679,2432,15,393,2024,,,,,,
Bundesstrasse,Landshut LK,B 15,74389140,St 2054 Münchsdorf,Kumhausen (LA 21),FS,3,6.281,9,TM17,274,7538004,7438026,3.43,Rosenheim,Landshut,11607,11000,13024,11321,,,,10714,606,66,163,378,,,,,733499.78,5376888.445
Bundesstrasse,Landshut LK,B 15,74399110,OE Landshut (Harlanderknoten),Anschluß Ergolding,FS,4,2.473,9,MZa,274,7438008,7439007,1.162,Rosenheim,Regensburg,21098,29184,30991,26140,28604,26522,16988,24465,1675,101,565,1010,,,,,733988.082,5383553.559
Bundesstrasse,Landshut LK,B 15,74399120,Anschluß Ergolding,St 2074 Altheim,FS,4,1.137,9,MZa,274,7439007,7439006,0.518,Landshut,Regensburg,18194,28994,30801,24333,27030,24958,14025,22728,1605,72,551,982,,,,,734780.243,5384435.7
Bundesstrasse,Landshut LK,B 15,74399148,St 2074 Altheim,A 92,FS,4,1.479,9,MZa,274,7439006,7439026,0.435,Landshut,Regensburg,,21961,23296,19328,21805,17968,12546,17805,1523,69,429,1025,,,,,735146.545,5385865.507
Bundesstrasse,Landshut LK,B 15,73399150,A 92,Essenbach (St 2141),FS,2,3.737,9,TMt20,274,7439001,7339016,1.487,GEGEN,IN,13287,16679,18716,11781,12784,12888,6738,10889,892,23,301,568,,,,,736755.399,5389041.063
Bundesstrasse,Landshut LK,B 15,73399160,Essenbach (L 2141),Neufahrn i. NB (L 2142),FS,2,14.207,9,DZ,274,7339004,7339002,0.57,Landshut,Regensburg,9907,14349,15539,6607,7266,6973,3792,5971,636,27,200,408,3382,3224,333,302,736485.839,5395993.927
Bundesstrasse,Landshut LK,B 15,72399100,Neufahrn i. NB (St 2142),Mallersdorf-Pfaffenberg (St 21,FS,2,2.85,9,TM,274,7239034,7239036,0.299,GEGEN,IN,6980,4455,4360,3532,3921,3651,2009,3217,315,28,119,168,,,,,735080.064,5404010.397
Bundesstrasse,Regensburg LK,B 15,71399115,Mallersdorf-Pfaffenberg (L 214,bei Eggmühl (L 2144 / R1),FS,2,9.818,9,TM16,375,7139024,7139020,1.084,Landshut,Regensburg,4339,2875,2683,2365,,,,1927,438,15,84,339,,,,,732698.278,5411200.506
Bundesstrasse,Regensburg LK,B 15,71399116,bei Eggmühl (L 2144 / R1),Ri Pfakofen (L 2146),FS,2,5.596,9,TM19,375,7139025,7139004,1.683,Landshut,Regensburg,4670,3184,3261,2910,3314,2935,1461,2387,523,15,116,392,,,,,733729.831,5416431.441
Bundesstrasse,Regensburg LK,B 15,70399117,Ri Pfakofen (L 2146),Köfering (R 30 / L2329),FS,2,7.484,9,TM,375,7139002,7039023,2.382,Landshut,Regensburg,8645,6999,7533,5769,6289,6650,2726,5183,586,30,206,350,,,,,735128.229,5423506.488
Bundesstrasse,Regensburg LK,B 15,70399118,Köfering (R 30 / L2329),Obertraubling (R20 / L 2111),FS,2,3.772,9,TM16,375,7039016,7039007,0.58,Landshut,Regensburg,11736,10732,10575,9178,,,,8502,676,57,219,399,,,,,733025.09,5426773.251
Bundesstrasse,Regensburg LK,B 15,70399175,Obertraubling (R20 / L 2111),nordöstl.Obertraubling (L 2145,OD,2,0.836,9,MZa,375,7039006,7039022,0.754,Landshut,Regensburg,17834,14856,15784,16220,18871,15597,7805,15074,1147,126,367,654,,,,,732283.358,5428910.04
Bundesstrasse,Regensburg Stadt,B 15,70399176,nordöstl.Obertraubling (L 2145,Regensbg Baulastgr (H.Quandt-A,FS,2,1.917,9,TMt,362,7039022,7038032,1.479,Landshut,Amberg über A 93,8625,10082,10721,9510,10913,9689,4340,8433,1077,27,442,608,,,,,732136.696,5429160.061
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72369110,B 300 (Dürnbucher Forst),BA-Grenze (StBALA),FS,4,2.301,9,TM17,186,7236012,7236021,0.936,Ingolstadt,Regensburg,,,12500,11069,,,,8225,2844,26,328,2490,,,,,,
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72359114,L 2335 (Manching),L 2335 (Manching Bhf),FS,2,1.448,9,TM20,186,7235020,7235026,0.595,Ingolstadt,Regensburg,,,12285,14149,15345,15907,7528,11186,2964,37,489,2438,,,,,,
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72349116,L 2044 (Zuchering),B 13 (Oberstimm),FS,3,3.093,9,TM16,186,7234070,7234064,2.563,Donauwörth,Ingolstadt,13512,14179,18242,16097,,,,13523,2575,33,412,2129,,,,,678974.028,5398042.5
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72349104,B 13 (Oberstimm),BAB A 9 (AS Manching),FS,2,3.301,9,TM20,186,7234064,7234072,1.033,Donauwörth,Ingolstadt,20886,19770,21106,20025,22739,19691,10986,17055,2970,62,588,2320,,,,,680670.981,5398886.632
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72349105,BAB A 9 (AS Manching),L 2335 (Manching),FS,3,1.06,9,MZa,186,7234053,7235020,0.81,Ingolstadt,Regensburg,18080,19833,21563,18214,20741,18032,9619,15522,2692,64,477,2150,,,,,683608.639,5398064.787
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72359100,L 2335 (Manching Bhf),L 2232 (Ernsgaden),FS,2,6.623,9,TM17,186,7235026,7235027,3.858,Ingolstadt,Regensburg,12703,12805,11499,10062,,,,8289,1774,29,249,1496,,,,,686473.922,5399871.767
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72359101,L 2232 (Ernsgaden),L 2232( Rockolding),FS,2,1.006,9,TM19,186,7235028,7235032,0.413,Ingolstadt,Regensburg,11985,11863,13592,11860,12677,13097,7286,9124,2736,36,397,2303,,,,,691269.611,5400864.354
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16,72359111,L 2232 (Rockolding),B 300 (Dürnbucher Forst),FS,2,6.063,9,TM,186,7235032,7236012,2.913,Ingolstadt,Regensburg,7470,8986,9641,10603,11553,11553,5960,8519,2084,68,329,1687,,,,,694470.304,5402177.389
Bundesstrasse,Eichstaett,B 16A,72359112,K EI 39 (KV Mailing),L 2335(Großmehring Süd),FS,2,4.104,9,TM,176,7234027,7235033,0.959,Ingolstadt,Vohburg a. d. Donau,,14647,16047,14447,15887,15887,7414,13343,1104,141,287,676,,,,,684203.962,5405108.789
Bundesstrasse,Eichstaett,B 16A,72359108,L 2335 (Großmehring Süd),K PAF 30 (Oberdünzing),FS,2,7.578,9,TM,176,7235033,7235034,3.396,Ingolstadt,Vohburg a. d. Donau,7145,8042,8751,7040,7644,7644,4088,6437,603,73,169,361,,,,,688696.126,5405873.293
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16A,72359102,K PAF 30 (Oberdünzing),L 2232 (Oberdünzing),FS,2,0.83,9,TM,186,7235006,7235037,0.541,Ingolstadt,Vohburg a.d.Donau,7735,7980,8671,7859,8683,8683,3826,7164,695,46,199,450,,,,,692961.66,5405720.711
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16A,72359109,L 2232 (Oberdünzing),K PAF 29 (Mitterwöhr),OD,2,1.354,9,TM18,186,7235038,7235011,0.392,Vohburg a.d.Donau,B 16 Münchsmünster,6095,6553,6564,5743,,,,5210,533,17,130,386,,,,,693451.906,5405168.166
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 16A,72359113,K PAF 29 (Mitterwöhr),B 300 (Münchsmünster),FS,2,4.45,9,TM18,186,7235011,7236010,1.403,Vohburg a. d. Donau,B 16 Münchsmünster,,4172,5177,4540,,,,3982,557,19,109,429,,,,,694890.619,5403861.888
Bundesstrasse,Kelheim,B 16,72369170,Bauamtsgrenze,Neustadt a.d.Donau St (B 299),FS,4,8.97,9,DZ,273,7236009,7236023,2.5,Ingolstadt,Regensburg,,,,11190,12501,11190,6600,9009,2181,10,344,1827,5615,5575,1076,1105,701714.729,5405506.277
Bundesstrasse,Kelheim,B 16,72369180,B 299 Anschluß ERN,KEH 22,FS,2,1.496,9,TM19,273,7236023,7236002,1.04,Ingolstadt,Regensburg,11646,14005,14811,13258,14513,13684,8275,10452,2806,27,434,2345,,,,,704134.276,5407076.763
Bundesstrasse,Kelheim,B 16,72369190,KEH 22,B 301 Abensberg,FS,2,4.345,9,TM,273,7236027,7237015,1.809,Ingolstadt,Regensburg,7263,9209,9630,8837,9765,9765,4302,7159,1678,24,290,1364,,,,,707540.448,5408464.608
Bundesstrasse,Kelheim,B 16,71379197,B 301 Abensberg,St 2144 Abensberg,FS,2,2.464,9,TM17,273,7237015,7137013,1.317,Ingolstadt,Regensburg,9151,10313,11081,9818,,,,7589,2228,29,317,1883,,,,,709347.495,5409294.729
Bundesstrasse,Kelheim,B 16,71379200,St 2144 Abensberg,St 2230 Kelheim,FS,2,11.184,9,TM18,273,7137013,7137008,2.322,Ingolstadt,Regensburg,6343,7567,7355,6601,,,,5151,1450,31,194,1225,,,,,711386.964,5412416.774
Bundesstrasse,Kelheim,B 16,70379205,St 2230 Kelheim,KEH 19 Saal a.d. Donau,FS,2,2.793,9,TM18,273,7037020,7037015,0.484,Ingolstadt,Regensburg,7937,11981,12568,11198,,,,9390,1808,57,322,1429,,,,,715009.649,5421309.237
